department,campaign_date,emails_sent,clicks,failures,completion_rate,quarter,fail_rate,click_rate,high_fail_rate_flag,department_key,department_name,business_unit,region
Information Technology,2026-01-31,120,14,9,0.92,2026Q1,0.075,0.11666666666666667,False,D001,Information Technology,Technology,DACH
Operations,2026-01-31,160,28,19,0.81,2026Q1,0.11875,0.175,False,D002,Operations,Core Services,DACH
Sales,2026-01-31,140,35,27,0.74,2026Q1,0.19285714285714287,0.25,True,D003,Sales,Commercial,DACH
Finance,2026-01-31,90,8,4,0.96,2026Q1,0.044444444444444446,0.08888888888888889,False,D004,Finance,Corporate,DACH
HR,2026-01-31,70,6,3,0.98,2026Q1,0.04285714285714286,0.08571428571428572,False,D005,HR,Corporate,DACH
Legal,2026-01-31,50,3,1,0.97,2026Q1,0.02,0.06,False,D006,Legal,Governance,DACH
Marketing,2026-01-31,85,11,7,0.88,2026Q1,0.08235294117647059,0.12941176470588237,False,D007,Marketing,Commercial,DACH
Customer Support,2026-01-31,110,18,11,0.84,2026Q1,0.1,0.16363636363636364,False,D008,Customer Support,Core Services,DACH
Information Technology,2026-04-30,125,15,10,0.91,2026Q2,0.08,0.12,False,D001,Information Technology,Technology,DACH
Operations,2026-04-30,165,31,22,0.79,2026Q2,0.13333333333333333,0.18787878787878787,False,D002,Operations,Core Services,DACH
Sales,2026-04-30,145,42,33,0.71,2026Q2,0.22758620689655173,0.2896551724137931,True,D003,Sales,Commercial,DACH
Finance,2026-04-30,92,9,5,0.95,2026Q2,0.05434782608695652,0.09782608695652174,False,D004,Finance,Corporate,DACH
HR,2026-04-30,72,5,2,,2026Q2,0.027777777777777776,0.06944444444444445,False,D005,HR,Corporate,DACH
Legal,2026-04-30,52,4,1,0.98,2026Q2,0.019230769230769232,0.07692307692307693,False,D006,Legal,Governance,DACH
Marketing,2026-04-30,88,13,9,0.86,2026Q2,0.10227272727272728,0.14772727272727273,False,D007,Marketing,Commercial,DACH
Customer Support,2026-04-30,112,20,12,0.83,2026Q2,0.10714285714285714,0.17857142857142858,False,D008,Customer Support,Core Services,DACH
Information Technology,2026-06-30,130,16,11,0.9,2026Q2,0.08461538461538462,0.12307692307692308,False,D001,Information Technology,Technology,DACH
Operations,2026-06-30,170,29,24,1.02,2026Q2,0.1411764705882353,0.17058823529411765,False,D002,Operations,Core Services,DACH
Sales,2026-06-30,150,39,44,0.69,2026Q2,0.29333333333333333,0.26,True,D003,Sales,Commercial,DACH
Finance,2026-06-30,95,7,3,0.97,2026Q2,0.031578947368421054,0.07368421052631578,False,D004,Finance,Corporate,DACH
Information Technology,2026-05-31,128,17,12,0.91,2026Q2,0.09375,0.1328125,False,D001,Information Technology,Technology,DACH
Operations,2026-05-31,168,30,21,0.8,2026Q2,0.125,0.17857142857142858,False,D002,Operations,Core Services,DACH
Sales,2026-05-31,148,38,29,0.72,2026Q2,0.19594594594594594,0.25675675675675674,True,D003,Sales,Commercial,DACH
Finance,2026-05-31,94,8,4,0.96,2026Q2,0.0425531914893617,0.0851063829787234,False,D004,Finance,Corporate,DACH
HR,2026-05-31,73,6,2,0.98,2026Q2,0.0273972602739726,0.0821917808219178,False,D005,HR,Corporate,DACH
Legal,2026-05-31,53,4,1,0.98,2026Q2,0.018867924528301886,0.07547169811320754,False,D006,Legal,Governance,DACH
Marketing,2026-05-31,89,14,8,0.87,2026Q2,0.0898876404494382,0.15730337078651685,False,D007,Marketing,Commercial,DACH
Customer Support,2026-05-31,114,21,13,0.82,2026Q2,0.11403508771929824,0.18421052631578946,False,D008,Customer Support,Core Services,DACH
Information Technology,2026-03-31,123,16,10,0.92,2026Q1,0.08130081300813008,0.13008130081300814,False,D001,Information Technology,Technology,DACH
Operations,2026-03-31,162,29,20,0.81,2026Q1,0.12345679012345678,0.17901234567901234,False,D002,Operations,Core Services,DACH
