finding_id,department,severity,open_date,close_date,status,owner_team,quarter,finding_age_days,is_critical,is_open,risk_flag,department_key,department_name,business_unit,region
FND-2001,Information Technology,Critical,2026-01-06,,Open,SOC,2026Q1,187,True,True,True,D001,Information Technology,Technology,DACH
FND-2002,Operations,High,2026-01-10,2026-02-01,Closed,Infrastructure,2026Q1,22,False,False,True,D002,Operations,Core Services,DACH
FND-2003,Sales,Medium,2026-01-14,2026-01-28,Closed,GRC,2026Q1,14,False,False,False,D003,Sales,Commercial,DACH
FND-2004,Finance,High,2026-01-18,,Open,Risk,2026Q1,175,False,True,True,D004,Finance,Corporate,DACH
FND-2005,HR,Low,2026-01-20,2026-01-19,Closed,Compliance,2026Q1,-1,False,False,False,D005,HR,Corporate,DACH
FND-2006,Information Technology,Critical,2026-02-02,,Open,SOC,2026Q1,160,True,True,True,D001,Information Technology,Technology,DACH
FND-2007,Operations,High,2026-02-09,,Open,Infrastructure,2026Q1,153,False,True,True,D002,Operations,Core Services,DACH
FND-2008,Legal,Medium,2026-02-15,2026-03-01,Closed,GRC,2026Q1,14,False,False,False,D006,Legal,Governance,DACH
FND-2009,Marketing,Low,2026-03-05,,Open,Awareness,2026Q1,129,False,True,False,D007,Marketing,Commercial,DACH
FND-2010,Customer Support,High,2026-03-08,2026-03-25,Closed,SOC,2026Q1,17,False,False,True,D008,Customer Support,Core Services,DACH
FND-2011,Information Technology,Critical,2026-04-03,,Open,SOC,2026Q2,100,True,True,True,D001,Information Technology,Technology,DACH
FND-2012,Operations,Medium,2026-04-11,2026-04-30,Closed,Infrastructure,2026Q2,19,False,False,False,D002,Operations,Core Services,DACH
FND-2013,Sales,High,2026-05-02,,Open,GRC,2026Q2,71,False,True,True,D003,Sales,Commercial,DACH
FND-2014,Finance,Medium,2026-05-12,2026-05-18,Closed,Risk,2026Q2,6,False,False,False,D004,Finance,Corporate,DACH
FND-2015,Operations,High,2026-05-22,,Open,,2026Q2,51,False,True,True,D002,Operations,Core Services,DACH
FND-2016,Information Technology,High,2026-06-01,,Open,SOC,2026Q2,41,False,True,True,D001,Information Technology,Technology,DACH
FND-2017,Operations,Medium,2026-06-04,2026-06-14,Closed,Infrastructure,2026Q2,10,False,False,False,D002,Operations,Core Services,DACH
FND-2018,Sales,Critical,2026-06-05,,Open,GRC,2026Q2,37,True,True,True,D003,Sales,Commercial,DACH
FND-2019,Finance,Low,2026-06-06,2026-06-08,Closed,Risk,2026Q2,2,False,False,False,D004,Finance,Corporate,DACH
FND-2020,HR,Medium,2026-06-09,,Open,Compliance,2026Q2,33,False,True,False,D005,HR,Corporate,DACH
FND-2021,Information Technology,High,2026-06-12,,Open,SOC,2026Q2,30,False,True,True,D001,Information Technology,Technology,DACH
FND-2022,Customer Support,Medium,2026-06-15,2026-06-22,Closed,Awareness,2026Q2,7,False,False,False,D008,Customer Support,Core Services,DACH
FND-2023,Operations,Critical,2026-06-18,,Open,Infrastructure,2026Q2,24,True,True,True,D002,Operations,Core Services,DACH
FND-2024,Marketing,Medium,2026-06-20,,Open,Awareness,2026Q2,22,False,True,False,D007,Marketing,Commercial,DACH
FND-2025,Legal,High,2026-06-21,2026-06-27,Closed,GRC,2026Q2,6,False,False,True,D006,Legal,Governance,DACH
