department,scan_date,assets_total,assets_compliant,compliance_rate,quarter,calculated_compliance_rate,compliance_gap,low_compliance_flag,department_key,department_name,business_unit,region
Information Technology,2026-01-15,220,198,0.9,2026Q1,0.9,0.09999999999999998,False,D001,Information Technology,Technology,DACH
Operations,2026-01-15,310,248,0.8,2026Q1,0.8,0.19999999999999996,True,D002,Operations,Core Services,DACH
Sales,2026-01-15,150,132,0.88,2026Q1,0.88,0.12,True,D003,Sales,Commercial,DACH
Finance,2026-01-15,95,91,0.96,2026Q1,0.9578947368421052,0.04210526315789476,False,D004,Finance,Corporate,DACH
HR,2026-01-15,60,57,0.95,2026Q1,0.95,0.050000000000000044,False,D005,HR,Corporate,DACH
Legal,2026-01-15,40,39,0.98,2026Q1,0.975,0.025000000000000022,False,D006,Legal,Governance,DACH
Marketing,2026-01-15,75,63,0.84,2026Q1,0.84,0.16000000000000003,True,D007,Marketing,Commercial,DACH
Customer Support,2026-01-15,140,118,0.84,2026Q1,0.8428571428571429,0.15714285714285714,True,D008,Customer Support,Core Services,DACH
Information Technology,2026-04-15,225,201,0.89,2026Q2,0.8933333333333333,0.10666666666666669,True,D001,Information Technology,Technology,DACH
Operations,2026-04-15,315,246,0.78,2026Q2,0.780952380952381,0.21904761904761905,True,D002,Operations,Core Services,DACH
Sales,2026-04-15,152,129,0.85,2026Q2,0.8486842105263158,0.15131578947368418,True,D003,Sales,Commercial,DACH
Finance,2026-04-15,96,93,0.97,2026Q2,0.96875,0.03125,False,D004,Finance,Corporate,DACH
HR,2026-04-15,61,58,0.95,2026Q2,0.9508196721311475,0.049180327868852514,False,D005,HR,Corporate,DACH
Legal,2026-04-15,41,40,0.98,2026Q2,0.975609756097561,0.024390243902439046,False,D006,Legal,Governance,DACH
Marketing,2026-04-15,76,60,0.79,2026Q2,0.7894736842105263,0.21052631578947367,True,D007,Marketing,Commercial,DACH
Customer Support,2026-04-15,142,117,0.82,2026Q2,0.823943661971831,0.176056338028169,True,D008,Customer Support,Core Services,DACH
Information Technology,2026-06-15,230,205,0.89,2026Q2,0.8913043478260869,0.10869565217391308,True,D001,Information Technology,Technology,DACH
Operations,2026-06-15,320,250,0.78,2026Q2,0.78125,0.21875,True,D002,Operations,Core Services,DACH
Sales,2026-06-15,155,126,0.81,2026Q2,0.8129032258064516,0.18709677419354842,True,D003,Sales,Commercial,DACH
Finance,2026-06-15,98,101,1.03,2026Q2,1.030612244897959,-0.030612244897959107,False,D004,Finance,Corporate,DACH
HR,2026-06-15,62,59,,2026Q2,0.9516129032258065,0.048387096774193505,False,D005,HR,Corporate,DACH
Information Technology,2026-05-15,228,204,0.89,2026Q2,0.8947368421052632,0.10526315789473684,True,D001,Information Technology,Technology,DACH
Operations,2026-05-15,318,252,0.79,2026Q2,0.7924528301886793,0.2075471698113207,True,D002,Operations,Core Services,DACH
Sales,2026-05-15,154,128,0.83,2026Q2,0.8311688311688312,0.16883116883116878,True,D003,Sales,Commercial,DACH
Finance,2026-05-15,97,94,0.97,2026Q2,0.9690721649484536,0.030927835051546393,False,D004,Finance,Corporate,DACH
HR,2026-05-15,61,57,0.93,2026Q2,0.9344262295081968,0.06557377049180324,False,D005,HR,Corporate,DACH
Legal,2026-05-15,41,39,0.95,2026Q2,0.9512195121951219,0.04878048780487809,False,D006,Legal,Governance,DACH
Marketing,2026-05-15,77,61,0.79,2026Q2,0.7922077922077922,0.20779220779220775,True,D007,Marketing,Commercial,DACH
Customer Support,2026-05-15,143,119,0.83,2026Q2,0.8321678321678322,0.1678321678321678,True,D008,Customer Support,Core Services,DACH
Information Technology,2026-03-15,223,199,0.89,2026Q1,0.8923766816143498,0.1076233183856502,True,D001,Information Technology,Technology,DACH
Operations,2026-03-15,312,244,0.78,2026Q1,0.782051282051282,0.21794871794871795,True,D002,Operations,Core Services,DACH
