department;campaign_date;emails_sent;clicks;failures;completion_rate
IT;31.01.2026;120;14;9;0.92
Operations;31.01.2026;160;28;19;0.81
Sales;31.01.2026;140;35;27;0.74
Finance;31.01.2026;90;8;4;0.96
HR;31.01.2026;70;6;3;0.98
Legal;31.01.2026;50;3;1;0.97
Marketing;31.01.2026;85;11;7;0.88
Customer Support;31.01.2026;110;18;11;0.84
Information Technology;30.04.2026;125;15;10;0.91
Ops;30.04.2026;165;31;22;0.79
Sales;30.04.2026;145;42;33;0.71
Finance;30.04.2026;92;9;5;0.95
HR;30.04.2026;72;5;2;
Legal;30.04.2026;52;4;1;0.98
Marketing;30.04.2026;88;13;9;0.86
Customer Support;30.04.2026;112;20;12;0.83
IT;30.06.2026;130;16;11;0.90
Operations;30.06.2026;170;29;24;1,02
Sales;30.06.2026;150;39;44;0.69
Finance;30.06.2026;95;7;3;0.97
IT;31.05.2026;128;17;12;0.91
Operations;31.05.2026;168;30;21;0.80
Sales;31.05.2026;148;38;29;0.72
Finance;31.05.2026;94;8;4;0.96
HR;31.05.2026;73;6;2;0.98
Legal;31.05.2026;53;4;1;0.98
Marketing;31.05.2026;89;14;8;0.87
Customer Support;31.05.2026;114;21;13;0.82
Information Technology;31.03.2026;123;16;10;0.92
Ops;31.03.2026;162;29;20;0.81
