department;scan_date;assets_total;assets_compliant;compliance_rate
IT;15.01.2026;220;198;0.90
Operations;15.01.2026;310;248;0.80
Sales;15.01.2026;150;132;0.88
Finance;15.01.2026;95;91;0.96
HR;15.01.2026;60;57;0.95
Legal;15.01.2026;40;39;0.98
Marketing;15.01.2026;75;63;0.84
Customer Support;15.01.2026;140;118;0.84
Information Technology;15.04.2026;225;201;0.89
Ops;15.04.2026;315;246;0.78
Sales;15.04.2026;152;129;0.85
Finance;15.04.2026;96;93;0.97
HR;15.04.2026;61;58;0.95
Legal;15.04.2026;41;40;0.98
Marketing;15.04.2026;76;60;0.79
Customer Support;15.04.2026;142;117;0.82
IT;15.06.2026;230;205;0.89
Operations;15.06.2026;320;250;0.78
Sales;15.06.2026;155;126;0.81
Finance;15.06.2026;98;101;1,03
HR;15.06.2026;62;59;
IT;15.05.2026;228;204;0.89
Operations;15.05.2026;318;252;0.79
Sales;15.05.2026;154;128;0.83
Finance;15.05.2026;97;94;0.97
HR;15.05.2026;61;57;0.93
Legal;15.05.2026;41;39;0.95
Marketing;15.05.2026;77;61;0.79
Customer Support;15.05.2026;143;119;0.83
Information Technology;15.03.2026;223;199;0.89
Ops;15.03.2026;312;244;0.78
