department,business_unit,quarter,open_incidents,open_critical_findings,high_risk_findings,avg_fail_rate,avg_click_rate,avg_completion_rate,avg_compliance_rate,avg_compliance_gap,avg_resolution_days
Marketing,Commercial,2026Q1,1.0,0,0,0.0824,0.1294,0.88,0.84,0.16,
Marketing,Commercial,2026Q2,1.0,0,0,0.0961,0.1525,0.865,0.7908,0.2092,
Sales,Commercial,2026Q1,,0,0,0.1929,0.25,0.74,0.88,0.12,4.5
Sales,Commercial,2026Q2,1.0,1,2,0.239,0.2688,0.7067,0.8309,0.1691,12.0
Customer Support,Core Services,2026Q1,,0,1,0.1,0.1636,0.84,0.8429,0.1571,7.0
Customer Support,Core Services,2026Q2,1.0,0,0,0.1106,0.1814,0.825,0.8281,0.1719,1.0
Operations,Core Services,2026Q1,1.0,0,2,0.1211,0.177,0.81,0.791,0.209,2.0
Operations,Core Services,2026Q2,1.0,1,2,0.1332,0.179,0.87,0.7849,0.2151,3.0
Finance,Corporate,2026Q1,,0,1,0.0444,0.0889,0.96,0.9579,0.0421,5.0
Finance,Corporate,2026Q2,,0,0,0.0428,0.0855,0.96,0.9895,0.0105,4.5
HR,Corporate,2026Q1,1.0,0,0,0.0429,0.0857,0.98,0.95,0.05,-1.0
HR,Corporate,2026Q2,,0,0,0.0276,0.0758,0.98,0.9456,0.0544,4.0
Legal,Governance,2026Q1,1.0,0,0,0.02,0.06,0.97,0.975,0.025,
Legal,Governance,2026Q2,,0,1,0.019,0.0762,0.98,0.9634,0.0366,2.0
Information Technology,Technology,2026Q1,1.0,2,2,0.0782,0.1234,0.92,0.8962,0.1038,2.0
Information Technology,Technology,2026Q2,3.0,1,3,0.0861,0.1253,0.9067,0.8931,0.1069,1.0
